Sample,Vrt,Rt,F,8.8
482,2.564477,23.089830,43.913005,0x2BE9
483,2.568153,23.153709,43.808477,0x2BCE
484,2.571829,23.217757,43.703670,0x2BB4
485,2.575505,23.281977,43.598583,0x2B99
486,2.579182,23.346369,43.493215,0x2B7E
487,2.582858,23.410932,43.387565,0x2B63
488,2.586534,23.475669,43.281632,0x2B48
489,2.590210,23.540580,43.175415,0x2B2C
490,2.593887,23.605665,43.068912,0x2B11
491,2.597563,23.670925,42.962123,0x2AF6
492,2.601239,23.736361,42.855046,0x2ADA
493,2.604915,23.801973,42.750811,0x2AC0
494,2.608592,23.867763,42.649596,0x2AA6
495,2.612268,23.933731,42.548107,0x2A8C
496,2.615944,23.999877,42.446343,0x2A72
497,2.619620,24.066203,42.344303,0x2A58
498,2.623297,24.132709,42.241986,0x2A3D
499,2.626973,24.199396,42.139391,0x2A23
500,2.630649,24.266264,42.036516,0x2A09
501,2.634325,24.333315,41.933361,0x29EE
502,2.638002,24.400550,41.829924,0x29D4
503,2.641678,24.467968,41.726204,0x29B9
504,2.645354,24.535570,41.622200,0x299F
505,2.649030,24.603358,41.517910,0x2984
506,2.652707,24.671332,41.413335,0x2969
507,2.656383,24.739494,41.308471,0x294E
508,2.660059,24.807842,41.203319,0x2934
509,2.663735,24.876380,41.097877,0x2919
510,2.667412,24.945106,40.992466,0x28FE
511,2.671088,25.014023,40.890786,0x28E4
512,2.674764,25.083130,40.788824,0x28C9
513,2.678440,25.152429,40.686580,0x28AF
514,2.682117,25.221921,40.584051,0x2895
515,2.685793,25.291606,40.481238,0x287B
516,2.689469,25.361484,40.378138,0x2860
517,2.693145,25.431558,40.274751,0x2846
518,2.696822,25.501827,40.171075,0x282B
519,2.700498,25.572293,40.067109,0x2811
520,2.704174,25.642956,39.962852,0x27F6
521,2.707850,25.713817,39.858302,0x27DB
522,2.711527,25.784877,39.753459,0x27C0
523,2.715203,25.856137,39.648322,0x27A5
524,2.718879,25.927598,39.542888,0x278A
525,2.722555,25.999260,39.437157,0x276F
526,2.726232,26.071125,39.331127,0x2754
527,2.729908,26.143193,39.224798,0x2739
528,2.733584,26.215464,39.122608,0x271F
529,2.737260,26.287941,39.021478,0x2705
530,2.740937,26.360624,38.920060,0x26EB
531,2.744613,26.433513,38.818354,0x26D1
532,2.748289,26.506610,38.716358,0x26B7
533,2.751965,26.579915,38.614072,0x269D
534,2.755642,26.653430,38.511493,0x2682
535,2.759318,26.727155,38.408621,0x2668
536,2.762994,26.801091,38.305454,0x264E
537,2.766670,26.875239,38.201992,0x2633
538,2.770347,26.949600,38.098232,0x2619
539,2.774023,27.024175,37.994174,0x25FE
540,2.777699,27.098965,37.889816,0x25E3
541,2.781375,27.173971,37.785157,0x25C9
542,2.785052,27.249193,37.680195,0x25AE
543,2.788728,27.324633,37.574930,0x2593
544,2.792404,27.400292,37.469360,0x2578
545,2.796080,27.476170,37.365616,0x255D
546,2.799757,27.552269,37.265632,0x2544
547,2.803433,27.628589,37.165358,0x252A
548,2.807109,27.705131,37.064791,0x2510
549,2.810785,27.781897,36.963931,0x24F6
550,2.814462,27.858888,36.862775,0x24DC
551,2.818138,27.936103,36.761324,0x24C2
552,2.821814,28.013545,36.659576,0x24A8
553,2.825491,28.091215,36.557528,0x248E
554,2.829167,28.169112,36.455181,0x2474
555,2.832843,28.247239,36.352532,0x245A
556,2.836519,28.325597,36.249581,0x243F
557,2.840196,28.404185,36.146326,0x2425
558,2.843872,28.483007,36.042765,0x240A
559,2.847548,28.562061,35.938897,0x23F0
560,2.851224,28.641351,35.834722,0x23D5
561,2.854901,28.720875,35.730237,0x23BA
562,2.858577,28.800637,35.625441,0x23A0
563,2.862253,28.880635,35.523676,0x2386
564,2.865929,28.960873,35.422677,0x236C
565,2.869606,29.041350,35.321377,0x2352
566,2.873282,29.122069,35.219774,0x2338
567,2.876958,29.203029,35.117866,0x231E
568,2.880634,29.284232,35.015652,0x2304
569,2.884311,29.365680,34.913131,0x22E9
570,2.887987,29.447372,34.810301,0x22CF
571,2.891663,29.529311,34.707161,0x22B5
572,2.895339,29.611497,34.603710,0x229A
573,2.899016,29.693932,34.499945,0x227F
574,2.902692,29.776617,34.395867,0x2265
575,2.906368,29.859552,34.291472,0x224A
576,2.910044,29.942740,34.186761,0x222F
577,2.913721,30.026180,34.081731,0x2214
578,2.917397,30.109875,33.976381,0x21F9
579,2.921073,30.193826,33.870709,0x21DE
580,2.924749,30.278033,33.766803,0x21C4
581,2.928426,30.362497,33.666779,0x21AA
582,2.932102,30.447221,33.566449,0x2191
583,2.935778,30.532205,33.465810,0x2177
584,2.939454,30.617450,33.364861,0x215D
585,2.943131,30.702958,33.263602,0x2143
586,2.946807,30.788730,33.162030,0x2129
587,2.950483,30.874767,33.060145,0x210F
588,2.954159,30.961070,32.957944,0x20F5
589,2.957836,31.047640,32.855426,0x20DA
590,2.961512,31.134479,32.752590,0x20C0
591,2.965188,31.221589,32.649435,0x20A6
592,2.968864,31.308969,32.545958,0x208B
593,2.972541,31.396622,32.442158,0x2071
594,2.976217,31.484549,32.338034,0x2056
595,2.979893,31.572751,32.233585,0x203B
596,2.983569,31.661229,32.128808,0x2020
597,2.987246,31.749985,32.023702,0x2006
598,2.990922,31.839020,31.920362,0x1FEB
599,2.994598,31.928335,31.817306,0x1FD1
600,2.998274,32.017932,31.713925,0x1FB6
601,3.001951,32.107812,31.610217,0x1F9C
602,3.005627,32.197976,31.506182,0x1F81
603,3.009303,32.288426,31.401816,0x1F66
604,3.012979,32.379163,31.297120,0x1F4C
605,3.016656,32.470188,31.192091,0x1F31
606,3.020332,32.561503,31.086727,0x1F16
607,3.024008,32.653109,30.981028,0x1EFB
